buld_nm,승강기번호,주소,고장,고장일자,,sido,sigungu,buld_nm,,,,,,,,
충북대학교학생생활관(양성재),361-03536,충청북도 청주시 서원구 충대로 1 (개신동),Y,2012.11.5,,충청북도,청주시,서원구,,,,,,,,
광교에듀타운자연앤자이2단지,443-03735,경기도 수원시 영통구 에듀타운로 65 (이의동),Y,2015.12.28,,경기도,수원시,영통구,,,,,,,,
그랑밸리,138-08034,서울특별시 송파구 마천로 181 (오금동),Y,2014.6.8,,서울특별시,송파구,마천로,,,,,,,,
목성아파트,690-04074,제주특별자치도 제주시 서광로11길 43 (삼도일동),Y,2012.12.18,,제주특별자치도,제주시,서광로11길,,,,,,,,
베아트리체,336-03557,충청남도 아산시 용화고길79번길 36 (용화동),Y,2013.9.13,,충청남도,아산시,용화고길79번길,,,,,,,,
시티프라자,305-04870,대전광역시 유성구 테크노중앙로 66 (관평동),Y,2014.9.13,,대전광역시,유성구,테크노중앙로,,,,,,,,
서원래온빌,641-04948,경상남도 창원시 의창구 동읍 용정길46번길 11 ,Y,2016.8.3,,경상남도,창원시,의창구,,,,,,,,
제이엠빌딩,641-04921,경상남도 창원시 의창구 원이대로261번길 6-11 (봉곡동),Y,2012.4.21,,경상남도,창원시,의창구,,,,,,,,
트윈빌,443-03761,경기도 수원시 영통구 신원로 128  (신동),Y,2017.6.28,,경기도,수원시,영통구,,,,,,,,
수인선송도역,406-04064,인천광역시 연수구 비류대로 175 (옥련동),Y,2012.6.30,,인천광역시,연수구,비류대로,,,,,,,,
에코타워,405-05306,인천광역시 남동구 논고개로 77  (논현동),Y,2015.6.23,,인천광역시,남동구,논고개로,,,,,,,,
경보이리스힐,607-02782,부산광역시 동래구 명륜로 69 (수안동),Y,2012.7.7,,부산광역시,동래구,명륜로,,,,,,,,
메타폴리스아파트,445-05638,경기도 화성시 동탄중앙로 200 (반송동),Y,2013.11.5,,경기도,화성시,동탄중앙로,,,,,,,,
용문동나이스타운,302-06636,대전광역시 서구 계룡로636번길 32 (용문동),Y,2013.7.25,,대전광역시,서구,계룡로636번길,,,,,,,,
용문동나이스타운,302-06636,대전광역시 서구 계룡로636번길 32 (용문동),Y,2013.11.8,,대전광역시,서구,계룡로636번길,,,,,,,,
청기와여관,121-03803,서울특별시 마포구 성미산로 74 (성산동),Y,2013.7.2,,서울특별시,마포구,성미산로,,,,,,,,
구포교회,616-02428,부산광역시 북구 낙동북로 681 (구포동),Y,2008.3.23,,부산광역시,북구,낙동북로,,,,,,,,
천안동서대로 인도육교,331-01206,충남 천안시 서북구 성정동 602-1 ,Y,2013.8.10,,충남,천안시,서북구,,,,,,,,
천안동서대로 인도육교,331-01207,충남 천안시 서북구 성정동 602-1 ,Y,2013.4.20,,충남,천안시,서북구,,,,,,,,
아산신창주공아파트,336-02423,충청남도 아산시 신창면 남성길 116-8 (주공소화마을아파트),Y,2015.11.10,,충청남도,아산시,신창면,,,,,,,,
아산신창주공아파트,336-02429,충청남도 아산시 신창면 남성길 116-8 (주공소화마을아파트),Y,2015.11.22,,충청남도,아산시,신창면,,,,,,,,
아산신창주공아파트,336-02419,충청남도 아산시 신창면 남성길 116-8 (주공소화마을아파트),Y,2014.3.24,,충청남도,아산시,신창면,,,,,,,,
KT강북지사,142-01569,서울특별시 강북구 솔매로50길 43 (미아동),Y,2014.8.20,,서울특별시,강북구,솔매로50길,,,,,,,,
두산위브더제니스,361-04016,"충청북도 청주시 서원구 사운로 93 (사직동, 두산위브더제니스)",Y,2015.7.23,,충청북도,청주시,서원구,두산위브더제니스),,,,,,,
두산위브더제니스,361-04028,"충청북도 청주시 서원구 사운로 93 (사직동, 두산위브더제니스)",Y,2014.9.18,,충청북도,청주시,서원구,두산위브더제니스),,,,,,,
두산위브더제니스,361-04030,"충청북도 청주시 서원구 사운로 93 (사직동, 두산위브더제니스)",Y,2011.12.11,,충청북도,청주시,서원구,두산위브더제니스),,,,,,,
두산위브더제니스,361-03976,"충청북도 청주시 서원구 사운로 93 (사직동, 두산위브더제니스)",Y,2012.1.14,,충청북도,청주시,서원구,두산위브더제니스),,,,,,,
두산위브더제니스,361-04015,"충청북도 청주시 서원구 사운로 93 (사직동, 두산위브더제니스)",Y,2010.11.15,,충청북도,청주시,서원구,두산위브더제니스),,,,,,,
두산위브더제니스,361-03975,"충청북도 청주시 서원구 사운로 93 (사직동, 두산위브더제니스)",Y,2011.12.30,,충청북도,청주시,서원구,두산위브더제니스),,,,,,,
두산위브더제니스,361-04028,"충청북도 청주시 서원구 사운로 93 (사직동, 두산위브더제니스)",Y,2012.2.29,,충청북도,청주시,서원구,두산위브더제니스),,,,,,,
세경레이크뷰,380-01265,충청북도 충주시 호암대로 17 (호암동),Y,2010.4.8,,충청북도,충주시,호암대로,,,,,,,,
월배태영데시앙,704-05440,대구광역시 달서구 조암남로 123 (대천동),Y,2016.8.1,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05446,대구광역시 달서구 조암남로 123 (대천동),Y,2015.6.27,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05440,대구광역시 달서구 조암남로 123 (대천동),Y,2012.8.7,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05442,대구광역시 달서구 조암남로 123 (대천동),Y,2012.8.11,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05442,대구광역시 달서구 조암남로 123 (대천동),Y,2011.1.18,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05442,대구광역시 달서구 조암남로 123 (대천동),Y,2012.6.25,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05444,대구광역시 달서구 조암남로 123 (대천동),Y,2011.4.1,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05443,대구광역시 달서구 조암남로 123 (대천동),Y,2011.3.28,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05445,대구광역시 달서구 조암남로 123 (대천동),Y,2011.5.22,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05446,대구광역시 달서구 조암남로 123 (대천동),Y,2010.12.13,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05447,대구광역시 달서구 조암남로 123 (대천동),Y,2010.4.25,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05438,대구광역시 달서구 조암남로 123 (대천동),Y,2011.12.10,,대구광역시,달서구,조암남로,,,,,,,,
월배태영데시앙,704-05443,대구광역시 달서구 조암남로 123 (대천동),Y,2011.11.24,,대구광역시,달서구,조암남로,,,,,,,,
광주하남애시앙2차아파트,506-03096,"광주광역시 광산구 목련로 41 (산정동, 부영 애시앙)",Y,2014.7.27,,광주광역시,광산구,목련로,애시앙),,,,,,,
광주하남애시앙2차아파트,506-03082,"광주광역시 광산구 목련로 41 (산정동, 부영 애시앙)",Y,2014.8.24,,광주광역시,광산구,목련로,애시앙),,,,,,,
광주하남애시앙2차아파트,506-03095,"광주광역시 광산구 목련로 41 (산정동, 부영 애시앙)",Y,2014.5.12,,광주광역시,광산구,목련로,애시앙),,,,,,,
광주하남애시앙2차아파트,506-03088,"광주광역시 광산구 목련로 41 (산정동, 부영 애시앙)",Y,2014.5.15,,광주광역시,광산구,목련로,애시앙),,,,,,,
광주하남애시앙2차아파트,506-03080,"광주광역시 광산구 목련로 41 (산정동, 부영 애시앙)",Y,2011.6.2,,광주광역시,광산구,목련로,애시앙),,,,,,,
수완지구양우내안애아파트,506-03000,광주광역시 광산구 풍영로330번길 16 (장덕동),Y,2010.7.31,,광주광역시,광산구,풍영로330번길,,,,,,,,
수완지구양우내안애아파트,506-03000,광주광역시 광산구 풍영로330번길 16 (장덕동),Y,2010.8.1,,광주광역시,광산구,풍영로330번길,,,,,,,,
이안빌딩,302-05511,대전광역시 서구 청사로 152 (둔산동),Y,2010.12.16,,대전광역시,서구,청사로,,,,,,,,
