buld_nm,승강기번호,주소,고장,고장일자,sido,sigungu,buld_nm.1,real_number
북한산래미안205동,122-03181,서울특별시 은평구 불광로2길 41 (불광동),Y,2011.9.8,서울특별시,은평구,불광로2길,0042227
인락빌딩,122-01911,서울특별시 은평구 연서로29길 8-8 (갈현동),Y,2012.1.30,서울특별시,은평구,연서로29길,0002669
수색자이상가2단지,122-02499,"서울특별시 은평구 수색로 217-1 (증산동, DMC 자이2단지내 상가 관리사무소)",Y,2016.8.7,서울특별시,은평구,수색로,0040529
불광동현대아파트,122-00220,서울특별시 은평구 불광로20길 9 (불광동),Y,2012.12.25,서울특별시,은평구,불광로20길,0103437
성보빌딩,122-03577,서울특별시 은평구 연서로 213 (갈현동),Y,2011.6.13,서울특별시,은평구,연서로,0006845
상아아파트,122-00885,서울특별시 은평구 불광천길 526 (응암동),Y,2011.10.16,서울특별시,은평구,불광천길,0080463
갈현1동주민센터,122-01621,서울특별시 은평구 갈현로 301 (갈현동),Y,2014.6.18,서울특별시,은평구,갈현로,0005109
구파발9단지(제1관리소),122-02982,서울특별시 은평구 진관3로 67 (진관동),Y,2010.11.13,서울특별시,은평구,진관3로,0014933
기린빌딩,122-00095,서울특별시 은평구 진흥로 103 (역촌동),Y,2011.4.25,서울특별시,은평구,진흥로,0005797
서울교통공사3호선불광역,122-00690,서울특별시 은평구 통일로 지하723-1 (대조동),Y,2014.8.8,서울특별시,은평구,통일로,0002833
서연빌딩,122-00061,서울특별시 은평구 통일로 869 (갈현동),Y,2012.3.7,서울특별시,은평구,통일로,0042094
서연빌딩,122-00061,서울특별시 은평구 통일로 869 (갈현동),Y,2012.3.7,서울특별시,은평구,통일로,0042094
서연빌딩,122-00061,서울특별시 은평구 통일로 869 (갈현동),Y,2012.3.7,서울특별시,은평구,통일로,0042094
신사씨티아파트,122-00032,서울특별시 은평구 가좌로 391 (신사동),Y,2008.5.14,서울특별시,은평구,가좌로,0039033
조경빌딩,122-00368,서울특별시 은평구 연서로9길 23 (역촌동),Y,2013.7.13,서울특별시,은평구,연서로9길,0038040
한국빌딩,122-01823,서울특별시 은평구 갈현로5길 32 (신사동),Y,2014.8.25,서울특별시,은평구,갈현로5길,0040401
북한산힐스테이트3차,122-02892,서울특별시 은평구 불광로 122-10 (불광동),Y,2014.7.8,서울특별시,은평구,불광로,0050041
북한산힐스테이트3차,122-02950,서울특별시 은평구 불광로 122-10 (불광동),Y,2012.12.9,서울특별시,은평구,불광로,0050041
한화63시티/한화생명불광동사옥,122-00291,서울특별시 은평구 통일로 742 (불광동),Y,2014.9.30,서울특별시,은평구,통일로,0006961
샤인힐,122-03345,서울특별시 은평구 통일로 855-14 (갈현동),Y,2012.4.27,서울특별시,은평구,통일로,0083666
샤인힐,122-03345,서울특별시 은평구 통일로 855-14 (갈현동),Y,2012.9.8,서울특별시,은평구,통일로,0083666
미션빌(김영신빌딩),122-01163,서울특별시 은평구 서오릉로7길 9-21 (역촌동),Y,2012.9.13,서울특별시,은평구,서오릉로7길,0007183
갈현현대아파트,122-00470,서울특별시 은평구 서오릉로21길 36 (구산동),Y,2016.7.5,서울특별시,은평구,서오릉로21길,0041281
백운빌딩,122-03053,서울특별시 은평구 연서로17길 13 (갈현동),Y,2012.2.3,서울특별시,은평구,연서로17길,0003458
진엘르빌 ,122-03801,서울특별시 은평구 응암로24길 8 (응암동),Y,2013.5.8,서울특별시,은평구,응암로24길,0080515
진엘르빌 ,122-03801,서울특별시 은평구 응암로24길 8 (응암동),Y,2013.6.24,서울특별시,은평구,응암로24길,0080515
진엘르빌 ,122-03801,서울특별시 은평구 응암로24길 8 (응암동),Y,2013.9.30,서울특별시,은평구,응암로24길,0080515
서울교통공사6호선구산역,122-01762,서울특별시 은평구 연서로 지하 137-1 (구산동),Y,2013.3.28,서울특별시,은평구,연서로,1800592
